State/UTs,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2011,2013
Andhra Pradesh,49573,49573,49573,49573,49573,49573,49573,49573,49573,49573,49573,49573,49573
Arunachal Pradesh,64132,64132,64132,64132,64132,64132,64132,64132,64132,64132,64132,64132,64132
Assam,25160,24832,24751,24508,24061,23824,23688,27714,27826,27645,27692,27673,27671
Bihar,28482,26668,26668,26587,26561,4832,4830,5720,5558,5579,6804,6845,7291
Chhattisgarh,0,0,0,0,0,56435,56693,56448,55998,55863,55870,55674,55621
Delhi,15,22,22,22,26,26,88,111,170,176,177,176,180
Goa,1240,1255,1255,1250,1250,1252,1251,2095,2156,2164,2151,2219,2219
Gujarat,11991,11921,11907,12044,12320,12578,12965,15152,14946,14715,14620,14619,14653
Haryana,513,513,513,513,603,604,964,1754,1517,1587,1594,1608,1586
Himachal Pradesh,12480,12480,12480,12502,12501,12521,13082,14360,14353,14369,14668,14679,14683
Jammu & Kashmir,20905,20449,20449,20443,20433,20440,20441,21237,21267,21273,22686,22539,22538
Jharkhand,0,0,0,0,0,21692,21644,22637,22716,22591,22894,22977,23473
Karnataka,32268,32104,32199,32343,32382,32403,32467,36991,36449,35251,36190,36194,36132
Kerala,10292,10292,10292,10336,10336,10334,10323,15560,15577,15595,17324,17300,17922
Madhya Pradesh,130099,135541,135541,135396,135164,74760,75137,77265,76429,76013,77700,77700,77522
Maharashtra,45616,44044,44044,43859,43843,46143,46672,47482,46865,47476,50650,50646,50632
Manipur,17475,17685,17685,17621,17558,17418,17384,16926,17219,17086,17280,17090,16990
Meghalaya,16466,15645,15875,15769,15714,15657,15633,15584,16839,16988,17321,17275,17288
Mizoram,19084,18170,18853,18697,18576,18775,18338,17494,18430,18684,19240,19117,19054
Nagaland,14394,14399,14321,14348,14291,14221,14164,13345,13609,13719,13464,13318,13044
Orissa,53253,47227,47205,47145,47107,46941,47033,48838,48366,48374,48855,48903,50347
Punjab,943,1338,1343,1343,1342,1387,1412,2432,1580,1558,1664,1764,1772
Rajasthan,12758,12884,12889,13099,13280,13353,13871,16367,15826,15850,16036,16087,16086
Sikkim,2756,3041,3041,3119,3127,3129,3118,3193,3262,3262,3357,3359,3358
Tamil Nadu,17472,16992,16992,17005,17045,17064,17078,21482,22643,23044,23338,23625,23844
Tripura,5953,5535,5535,5538,5538,5546,5745,7065,8093,8155,8073,7977,7866
Uttar Pradesh,31226,33627,33609,33961,33986,10751,10756,13746,14118,14127,14341,14338,14349
Uttarakhand,0,0,0,0,0,23243,23260,23938,24465,24442,24495,24496,24508
West Bengal,8432,8015,8015,8186,8276,8349,8362,10693,12343,12413,12994,12995,16805
A & N Islands,7601,7622,7622,7624,7615,7613,7606,6930,6964,6629,6662,6724,6711
Chandigarh,2,5,5,5,7,7,7,9,15,15,17,17,17
Dadra & Nagar Haveli,238,206,206,206,204,204,202,219,225,221,211,211,213
Daman & Diu,0,0,0,0,0,0,0,6,8,8,6,6,9
Lakshadweep,0,0,0,0,0,0,0,27,23,25,26,27,27
Puducherry,0,0,0,0,0,0,0,36,40,42,44,50,50
